Date,Open,High,Low,Close,Daily_Return_%,MA_20
2000-01-03,1482.15,1592.9,1482.15,1592.2,,
2000-01-04,1594.4,1641.95,1594.4,1638.7,2.920487375957803,
2000-01-05,1634.55,1635.5,1555.05,1595.8,-2.617928846036499,
2000-01-06,1595.8,1639.0,1595.8,1617.6,1.366085975686171,
2000-01-07,1616.6,1628.25,1597.2,1613.3,-0.2658259149357023,
2000-01-10,1615.65,1662.1,1614.95,1632.9,1.214901134320967,
2000-01-11,1633.25,1639.9,1548.25,1572.5,-3.698940535244055,
2000-01-12,1572.3,1631.55,1571.7,1624.8,3.325914149443565,
2000-01-13,1627.85,1671.15,1613.65,1621.4,-0.20925652387985272,
2000-01-14,1622.15,1627.4,1591.4,1622.7,0.08017762427532382,
2000-01-17,1623.5,1668.45,1604.65,1611.6,-0.6840451100018519,
2000-01-18,1611.65,1615.15,1587.85,1606.7,-0.3040456689004656,
2000-01-19,1610.05,1644.45,1608.85,1634.8,1.7489263708221792,
2000-01-20,1634.65,1644.4,1596.65,1601.1,-2.06141424027404,
2000-01-21,1601.25,1626.5,1593.2,1620.6,1.2179126850290434,
2000-01-24,1623.05,1645.0,1608.3,1613.6,-0.43193878810317,
2000-01-25,1612.95,1613.65,1579.55,1586.4,-1.6856717897868023,
2000-01-27,1600.5,1633.55,1600.05,1603.9,1.103126575895108,
2000-01-28,1603.65,1610.9,1592.7,1599.1,-0.29927052808780275,
2000-01-31,1598.35,1598.35,1538.7,1546.2,-3.3081108123319325,1607.795
2000-02-01,1546.2,1554.15,1521.4,1549.5,0.21342646488164974,1605.66
2000-02-02,1554.2,1605.9,1554.2,1588.0,2.4846724749919336,1603.125
2000-02-03,1591.25,1616.7,1591.25,1597.9,0.6234256926952231,1603.23
2000-02-04,1598.5,1621.35,1596.45,1599.7,0.11264785030351554,1602.335
2000-02-07,1599.8,1645.9,1599.8,1636.6,2.306682502969304,1603.5
2000-02-08,1636.6,1676.1,1636.6,1662.7,1.5947696443847192,1604.99
2000-02-09,1666.95,1731.65,1666.7,1689.6,1.6178504841522834,1610.845
2000-02-10,1692.1,1713.7,1692.1,1711.2,1.278409090909105,1615.165
2000-02-11,1712.85,1771.65,1712.85,1756.0,2.618045815801784,1621.895
2000-02-14,1777.75,1795.45,1738.75,1744.5,-0.6548974943052399,1627.985
2000-02-15,1744.5,1744.5,1694.45,1702.5,-2.407566638005154,1632.53
2000-02-16,1704.85,1742.8,1704.15,1711.1,0.5051395007342085,1637.75
2000-02-17,1710.05,1753.1,1710.05,1742.1,1.8117000759745094,1643.1150000000002
2000-02-18,1742.3,1764.15,1713.45,1717.8,-1.394868262441873,1648.95
2000-02-21,1719.55,1767.8,1719.55,1753.5,2.0782396088019572,1655.595
2000-02-22,1754.2,1781.05,1733.55,1739.0,-0.8269175933846573,1661.8650000000002
2000-02-23,1745.2,1818.15,1689.2,1696.4,-2.4496837262794613,1667.3649999999998
2000-02-24,1696.4,1751.6,1693.1,1732.0,2.0985616599858536,1673.77
2000-02-25,1734.05,1757.05,1699.25,1710.4,-1.24711316397228,1679.3349999999998
2000-02-28,1711.15,1726.65,1670.75,1722.5,0.7074368568755762,1688.15
2000-02-29,1722.85,1783.3,1626.35,1654.8,-3.9303338171262747,1693.4149999999997
2000-03-01,1661.5,1727.9,1630.0,1712.7,3.498912255257447,1699.65
2000-03-02,1713.65,1773.85,1690.05,1696.5,-0.9458749343142392,1704.58
2000-03-03,1696.45,1719.15,1644.4,1656.0,-2.3872679045092826,1707.395
2000-03-06,1656.0,1721.0,1656.0,1688.5,1.962560386473422,1709.9900000000002
2000-03-07,1711.85,1730.85,1684.9,1702.7,0.8409831211134255,1711.9900000000002
2000-03-08,1717.75,1765.25,1654.45,1666.3,-2.1377811710812322,1710.825
2000-03-09,1667.45,1692.25,1595.45,1646.2,-1.2062653783832422,1707.575
2000-03-10,1647.85,1680.45,1588.2,1602.7,-2.642449277123071,1699.9100000000003
2000-03-13,1601.4,1645.0,1553.45,1560.7,-2.6205777750046844,1690.72
2000-03-14,1561.55,1571.3,1503.2,1567.0,0.4036650221054705,1683.9450000000002
2000-03-15,1546.8,1630.95,1538.7,1620.1,3.388640714741542,1679.395
2000-03-16,1620.4,1621.2,1554.3,1562.2,-3.5738534658354304,1670.4
2000-03-21,1563.3,1585.25,1542.65,1556.6,-0.35846882601460184,1662.3400000000001
2000-03-22,1551.05,1604.0,1551.05,1589.6,2.1200051394064,1654.145
2000-03-23,1590.3,1629.2,1544.5,1553.4,-2.277302466029174,1644.8650000000002
2000-03-24,1554.2,1579.4,1540.45,1569.5,1.0364362044547493,1638.52
2000-03-27,1570.45,1593.3,1555.75,1562.9,-0.42051608792608164,1630.065
2000-03-28,1563.3,1575.85,1527.55,1568.6,0.3647066351013972,1622.975
2000-03-29,1569.3,1609.4,1553.4,1558.2,-0.6630116027030342,1614.7599999999998
2000-03-30,1556.95,1557.85,1489.1,1549.5,-0.5583365421640396,1609.495
2000-03-31,1545.55,1545.55,1493.9,1528.4,-1.3617295901903748,1600.28
2000-04-03,1528.7,1555.5,1510.75,1534.7,0.41219576027218263,1592.19
2000-04-04,1534.05,1534.05,1420.85,1428.1,-6.945982928259609,1580.7949999999998
2000-04-05,1428.5,1467.4,1391.65,1434.6,0.4551501995658569,1568.1
